id,educ,peduc,kids,agem,rural
752,10,12,4,14,0
753,12,7,3,19,0
754,15,15,2,18,0
755,15,12,2,21,0
756,15,17,0,18,0
757,17,17,2,21,0
758,7,0,2,19,0
759,5,10,1,18,0
760,12,15,2,21,0
761,7,10,2,17,0
762,15,15,2,24,0
763,5,10,4,15,0
764,7,6,0,22,0
765,10,10,5,13,0
766,10,10,2,21,0
767,10,10,3,19,0
768,6,0,2,20,0
769,10,10,1,16,0
770,0,0,7,19,0
771,10,10,5,14,0
772,10,7,0,26,0
773,8,10,2,23,0
774,10,15,4,20,0
775,15,15,3,18,0
776,10,10,4,14,0
777,0,0,1,19,0
778,7,10,0,19,0
779,10,10,4,19,0
780,10,15,3,21,0
781,7,0,1,19,0
782,15,15,4,20,0
783,12,15,2,20,0
784,10,12,4,19,0
785,10,10,3,18,0
786,7,15,5,18,0
787,17,15,4,23,0
788,10,10,3,19,0
789,0,0,1,16,1
790,5,3,0,17,1
791,2,6,4,14,1
792,0,7,3,17,1
793,7,10,3,14,1
794,0,0,3,18,1
795,0,0,4,20,1
796,0,0,2,17,1
797,0,0,5,14,1
798,0,0,3,16,1
799,0,0,3,15,1
800,3,7,2,17,1
801,0,0,3,17,1
802,7,7,1,19,1
803,0,0,4,12,1
804,6,6,1,18,1
805,0,0,2,16,1
806,0,5,4,15,1
807,6,15,1,18,1
808,0,0,3,20,1
809,0,6,2,16,1
810,7,10,4,17,1
811,0,2,3,15,1
812,10,2,2,17,1
813,0,8,3,15,1
814,0,3,5,16,1
815,0,5,4,12,1
816,5,10,0,21,1
817,10,5,1,16,1
818,0,0,2,19,1
819,0,7,5,17,1
820,5,8,2,15,1
821,0,0,3,16,1
822,0,15,2,16,1
823,0,5,4,16,1
824,5,2,2,13,1
825,0,0,2,14,1
826,0,0,3,16,1
827,5,9,2,16,1
828,10,9,1,18,1
829,8,10,2,17,1
830,0,0,3,15,1
831,1,9,1,16,1
832,8,11,2,14,1
833,0,0,4,13,1
834,0,4,2,13,1
835,3,8,2,15,1
836,0,8,4,14,1
837,0,0,1,20,1
838,0,7,0,13,1
839,2,4,2,13,1
840,5,6,2,12,1
841,1,3,2,13,1
842,9,0,2,14,1
843,0,0,5,17,0
844,15,16,2,20,0
845,7,7,1,19,0
846,10,10,1,21,0
847,10,12,0,19,0
848,10,5,3,17,0
849,17,10,0,21,0
850,10,12,0,20,0
851,14,15,2,19,0
852,10,13,2,17,0
853,10,15,3,18,0
854,12,10,0,18,0
855,7,7,4,12,0
856,15,12,2,23,0
857,5,10,7,18,0
858,15,10,1,20,0
859,5,11,3,14,0
860,9,2,4,15,0
861,18,18,2,24,0
862,5,7,2,13,1
863,7,10,3,16,1
864,15,17,1,23,1
865,10,10,3,13,1
866,5,10,3,12,1
867,10,12,2,19,1
868,0,1,4,13,1
869,0,2,2,16,1
870,2,0,4,14,1
871,6,9,2,18,1
872,14,15,1,19,1
873,10,15,1,21,1
874,4,10,2,18,1
875,6,10,2,19,1
876,0,5,2,13,1
877,0,0,3,13,1
878,0,0,2,15,1
879,6,10,3,18,1
880,6,4,1,15,1
881,1,0,3,21,1
882,10,12,2,17,1
883,0,3,8,14,1
884,0,5,2,19,1
885,3,0,4,12,1
886,10,15,2,19,1
887,5,15,2,16,0
888,14,15,1,22,0
889,12,15,0,20,0
890,10,12,2,15,0
891,6,3,2,16,0
892,10,17,2,18,0
893,3,3,3,15,0
894,1,6,2,17,0
895,4,5,3,15,0
896,10,11,2,19,0
897,3,9,4,21,0
898,3,6,1,14,0
899,10,9,4,19,0
900,0,0,3,13,0
901,15,15,2,18,0
902,0,5,4,14,0
903,12,6,2,23,0
904,0,0,2,19,0
905,10,4,3,12,0
906,14,15,1,18,0
907,2,15,3,16,0
908,11,17,0,19,0
909,7,10,2,19,0
910,10,12,2,16,0
911,10,10,2,16,0
912,10,12,3,14,0
913,6,9,2,13,0
914,16,17,1,24,0
915,4,7,2,15,0
916,5,0,2,15,0
917,8,4,2,18,0
918,10,9,2,13,0
919,0,12,2,18,0
920,7,10,1,16,0
921,4,0,0,32,0
922,9,9,1,20,0
923,0,0,2,15,1
924,2,7,5,13,1
925,11,12,4,15,1
926,12,15,1,18,1
927,0,6,2,15,1
928,5,12,2,15,1
929,0,2,0,14,1
930,4,4,2,13,1
931,0,0,2,16,1
932,5,6,2,14,1
933,0,0,3,17,1
934,0,2,5,16,1
935,7,12,2,14,1
936,9,10,0,19,1
937,0,0,4,13,1
938,0,0,2,13,1
939,0,0,6,16,1
940,6,0,2,13,1
941,12,6,1,17,1
942,0,0,2,17,1
943,0,3,2,12,1
944,0,0,3,13,1
945,0,0,2,14,1
946,0,0,1,20,1
947,0,4,2,13,1
948,7,7,2,15,1
949,3,9,2,16,1
950,0,4,3,14,1
951,0,0,1,20,1
952,5,0,2,15,1
953,0,0,2,19,1
954,0,5,7,15,1
955,4,0,0,16,1
956,3,0,1,14,1
957,0,0,1,15,1
958,0,0,2,12,1
959,0,0,7,16,1
960,7,0,2,13,1
961,0,4,3,14,1
962,0,0,2,18,1
963,0,0,5,18,1
964,0,7,4,14,1
965,9,15,3,15,1
966,0,10,2,15,1
967,0,7,3,13,1
968,0,4,4,13,1
969,5,10,2,13,1
970,12,10,0,20,1
971,0,0,4,12,1
972,0,0,1,16,1
973,0,0,2,14,1
974,5,4,0,22,1
975,0,0,1,13,1
976,9,7,3,15,1
977,0,0,2,13,1
978,2,4,2,18,1
979,1,9,3,15,1
980,7,5,2,17,1
981,0,9,2,12,1
982,0,0,2,14,1
983,0,0,5,13,1
984,0,0,2,17,1
985,7,11,1,17,1
986,4,0,3,14,1
987,0,3,3,16,1
988,3,7,1,22,0
989,7,9,3,14,0
990,10,10,2,22,0
991,14,10,1,21,0
992,0,0,1,22,0
993,10,9,0,25,0
994,6,12,3,15,0
995,10,14,2,18,0
996,10,10,1,20,0
997,2,9,5,12,0
998,0,7,2,16,0
999,4,6,1,20,0
1000,12,17,2,16,0
1001,9,16,4,19,0
1002,0,2,3,15,0
1003,10,9,2,14,0
1004,12,15,2,19,0
1005,10,6,1,18,0
1006,17,16,0,25,0
1007,10,10,3,24,0
1008,13,15,2,18,0
1009,15,17,0,20,0
1010,11,11,3,16,0
1011,17,17,1,22,0
1012,6,8,2,15,0
1013,7,12,3,17,0
1014,7,10,4,19,0
1015,10,10,2,20,0
1016,12,15,2,25,0
1017,17,17,2,26,0
1018,6,2,4,15,0
1019,11,12,0,20,0
1020,0,0,2,22,0
1021,2,0,2,20,0
1022,10,10,1,14,0
1023,8,6,2,12,0
1024,0,0,0,15,1
1025,0,0,3,13,1
1026,2,6,2,14,1
1027,0,5,3,15,1
1028,0,0,4,14,1
1029,0,0,3,13,1
1030,0,7,3,18,1
1031,0,3,5,15,1
1032,0,0,2,13,1
1033,0,0,1,16,1
1034,0,0,2,15,1
1035,0,5,1,14,1
1036,0,0,3,18,1
1037,0,0,1,14,1
1038,0,0,8,12,1
1039,0,0,5,13,1
1040,0,3,4,15,1
1041,0,10,3,12,1
1042,10,10,4,20,0
1043,0,5,4,17,0
1044,10,10,0,20,0
1045,7,10,2,25,0
1046,6,10,5,20,0
1047,10,15,8,19,0
1048,0,0,10,15,0
1049,7,7,0,19,0
1050,9,7,3,17,0
1051,7,0,4,19,0
1052,10,10,0,21,0
1053,8,10,4,18,0
1054,7,12,2,18,0
1055,7,10,4,19,0
1056,10,14,3,17,0
1057,2,0,5,17,0
1058,7,4,4,15,0
1059,10,7,1,17,0
1060,10,9,3,16,0
1061,10,11,4,20,0
1062,10,12,2,19,0
1063,12,10,0,19,0
1064,10,15,5,19,0
1065,15,15,2,19,0
1066,10,10,5,16,0
1067,9,12,5,13,0
1068,0,7,4,21,0
1069,12,15,3,17,0
1070,7,0,0,20,0
1071,10,10,4,20,0
1072,10,13,0,14,0
1073,10,10,1,15,0
1074,15,15,4,19,0
1075,10,9,2,19,1
1076,10,16,2,22,1
1077,10,6,0,15,1
1078,0,7,2,14,1
1079,6,5,1,14,1
1080,0,9,3,18,1
1081,10,10,1,20,1
1082,7,7,2,16,1
1083,0,0,4,15,1
1084,8,9,2,19,1
1085,0,0,2,16,1
1086,10,12,2,18,1
1087,5,0,2,14,1
1088,12,12,2,21,1
1089,0,0,2,15,1
1090,3,5,0,17,1
1091,0,0,1,16,1
1092,0,0,4,14,1
1093,0,7,0,18,1
1094,0,0,1,15,1
1095,0,0,3,15,1
1096,10,0,3,14,1
1097,0,0,3,12,1
1098,0,0,3,26,1
1099,0,5,3,17,1
1100,10,15,1,17,1
1101,12,15,2,19,1
1102,0,0,2,12,1
1103,6,17,1,17,1
1104,0,7,4,13,1
1105,7,11,3,20,1
1106,4,2,2,12,1
1107,0,9,2,16,1
1108,5,9,4,20,1
1109,0,0,3,14,1
1110,0,0,4,17,1
1111,10,0,2,18,1
1112,0,0,5,13,1
1113,0,6,4,14,1
1114,0,4,1,15,1
1115,0,0,2,17,1
1116,0,0,4,12,1
1117,9,0,2,16,1
1118,12,9,2,20,0
1119,13,10,2,21,0
1120,12,15,3,18,0
1121,10,7,5,17,0
1122,15,10,2,24,0
1123,6,6,7,13,0
1124,11,9,0,17,0
1125,12,10,4,22,0
1126,5,0,4,16,0
1127,12,10,2,17,0
1128,10,7,1,24,0
1129,7,7,6,17,0
1130,7,3,5,21,0
1131,8,0,2,16,0
1132,0,5,9,16,0
1133,12,17,4,20,0
1134,17,15,2,24,0
1135,7,10,8,16,0
1136,5,5,6,20,0
1137,9,9,6,15,0
1138,6,0,3,18,0
1139,0,0,5,15,0
1140,10,17,3,18,0
1141,13,12,1,17,0
1142,3,0,9,12,0
1143,7,0,0,21,0
1144,10,15,4,19,0
1145,0,0,8,19,0
1146,10,17,2,15,0
